"","houseid","cityid","adrnum","street","state","zip","bathnum","bednum","outview","numlvl","yrbuilt","landsz","condtn","housesz","closedt","sellprice","origprice","longitude","latitude"
"172",172,65,"95-1060","Haalilo","HI",96789,3,3,"Other",2,2003,5910,5,2102,2014-05-07,890000,970000,-157.9886946,21.4728855
"173",173,65,"95-210","Halelau","HI",96789,3,4,"Garden,Mountain",2,2000,5756,5,2258,2014-06-20,895000,899000,-157.991655,21.482892
"174",174,65,"95-959","Kelakela","HI",96789,3,4,"Garden",2,2006,5855,5,2401,2014-10-29,899000,938000,-158.011527,21.4749139
"175",175,65,"95-1015","Ahea","HI",96789,3,4,"Sunrise,Sunset",2,1991,5100,5,2454,2015-01-14,899000,915000,-157.9979789,21.465775
"176",176,65,"95-1009","Kahakuhi","HI",96789,3,4,"None",2,2005,6859,5,2532,2013-08-23,900000,929000,-157.9798209,21.478961
"177",177,65,"95-1043","Kelakela","HI",96789,3,3,"Mountain",2,2006,7152,5,2401,2014-03-25,900000,919000,-158.0082476,21.4764037
"178",178,65,"95-211","Lilii","HI",96789,3,4,"Mountain",2,1991,9867,4,2330,2014-11-20,900000,969000,-157.996036,21.464861
"179",179,65,"95-214","Melekai","HI",96789,3,4,"Garden",2,2005,7413,3,2163,2015-01-14,915000,929000,-158.008537,21.475667
"180",180,65,"95-980","Kelakela","HI",96789,3,4,"Garden,Mountain,Sunset",2,2006,5870,5,2532,2013-07-03,919000,939900,-158.01104,21.475789
"181",181,65,"95-204","Pahiku","HI",96789,3,4,"Garden,Sunset",2,2003,6655,4,2287,2014-05-09,920000,949000,-157.982349,21.476309
"182",182,65,"95-1036","Kahakuhi","HI",96789,3,3,"None",2,2005,5500,5,2806,2014-07-25,920000,929999,-157.979996,21.479297
"183",183,65,"95-206","Inana","HI",96789,4,5,"Other",2,2005,5647,5,3516,2013-10-18,925000,985000,-157.977835,21.478558
"184",184,65,"95-1109","Kualapa","HI",96789,3,3,"Garden",2,1994,10728,4,2351,2013-06-10,925000,925000,-157.991902,21.465935
"185",185,65,"95-1087","Kualapa","HI",96789,3,3,"Mountain,Ocean,Other",2,1994,7194,5,2590,2013-06-06,930000,987000,-157.992723,21.465437
"186",186,65,"95-228","KAPANOE","HI",96789,3,3,"Garden",2,2004,5238,5,2119,2014-01-10,937500,975000,-157.9800799,21.483986
"187",187,65,"95-209","Hainole","HI",96789,3,3,"Garden,Sunrise,Sunset",1,2006,5700,5,2108,2015-04-15,937750,929500,-157.977256,21.479957
"188",188,65,"95-1086","Loea","HI",96789,3,4,"Mountain,Other,Sunset",2,2003,5883,5,2939,2014-11-14,945000,950000,-157.982929,21.4763449
"189",189,65,"95-942","Kelakela","HI",96789,3,4,"Mountain",2,2006,8438,5,2808,2014-05-16,950000,1058000,-158.012344,21.475146
"190",190,65,"95-214","Melekomo","HI",96789,3,3,"Garden,Mountain,Sunrise,Sunset",2,2006,9445,4,2673,2014-10-02,950000,950000,-158.013143,21.475331
"191",191,65,"95-1112","Auina","HI",96789,4,5,"Garden,Mountain",2,1995,11462,5,2603,2013-06-13,955000,955000,-157.99625,21.479007
